rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,Num Cands,Num Seats
10,Skipped,Skipped,Skipped,12,33,Skipped,8,7,Skipped,Skipped,38,Skipped,Skipped,36,1,4,Skipped,5,Skipped,37,Skipped,Skipped,Skipped,5,Skipped,34,6,Skipped,35,9,2,Skipped,Skipped,Skipped,3,11,Skipped,,
Skipped,Skipped,Skipped,19,26,Skipped,Skipped,Skipped,5,Skipped,24,Skipped,Skipped,17,Skipped,2,15,Skipped,Skipped,18,28,14,Skipped,8,Skipped,Skipped,16,3,Skipped,38,10,1,Skipped,21,Skipped,Skipped,35,22,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,5,Skipped,2,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
10,10,Skipped,10,Skipped,10,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,10,10,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,38,Skipped,9,Skipped,Skipped,Skipped,Skipped,1,4,Skipped,Skipped,Skipped,10,8,Skipped,3,Skipped,Skipped,Skipped,Skipped,2,Skipped,7,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
8,18,Skipped,6,Skipped,Skipped,11,21,7,9,15,Skipped,Skipped,24,30,16,Skipped,12,23,25,22,20,Skipped,5,Skipped,19,Skipped,3,13,Skipped,4,1,Skipped,10,14,2,17,Skipped,,
Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,3,Skipped,5,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
15,18,Skipped,5,12,Skipped,21,Skipped,16,23,7,27,10,11,19,1,22,Skipped,6,9,25,30,28,14,3,29,8,Skipped,20,Skipped,13,4,26,24,2,17,Skipped,Skipped,,
3,2,26,11,10,30,28,29,4,21,23,18,6,14,Skipped,19,33,24,12,22,Skipped,20,Skipped,9,5,Skipped,17,25,8,31,7,15,27,16,13,Skipped,1,32,,
2,7,19,Skipped,4,28,11,23,Skipped,8,Skipped,16,17,Skipped,25,1,3,21,9,Skipped,24,20,26,15,10,14,Skipped,22,6,30,12,Skipped,27,Skipped,18,13,5,29,,
32,32,Skipped,32,32,32,32,32,32,32,32,Skipped,32,Skipped,32,32,32,33,32,Skipped,32,32,Skipped,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
38,7,12,19,11,12,13,18,38,14,38,3,8,38,38,5,38,11,38,38,38,12,38,9,38,38,38,17,15,38,6,1,38,Skipped,38,16,38,38,,
Skipped,Skipped,Skipped,7,9,Skipped,Skipped,Skipped,Skipped,Skipped,2,11,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,5,4,Skipped,6,Skipped,Skipped,Skipped,10,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,6,7,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,5,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
10,14,27,11,17,20,31,22,18,12,24,38,13,19,36,8,25,30,7,31,33,6,27,34,1,15,21,2,32,35,23,5,26,16,4,3,9,37,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,3,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
5,8,10,13,6,29,31,30,17,15,27,20,21,36,25,2,38,35,4,16,19,23,28,18,9,11,7,14,34,33,26,3,24,32,22,12,1,37,,
11,Skipped,Skipped,16,Skipped,Skipped,34,Skipped,3,Skipped,38,20,Skipped,3,12,1,22,Skipped,9,37,37,Skipped,13,7,8,21,32,Skipped,Skipped,Skipped,10,5,Skipped,33,4,29,Skipped,Skipped,,
Skipped,12,Skipped,4,Skipped,Skipped,Skipped,Skipped,1,13,Skipped,Skipped,Skipped,11,Skipped,2,Skipped,16,7,Skipped,Skipped,Skipped,14,Skipped,6,10,15,Skipped,8,Skipped,9,3,Skipped,Skipped,Skipped,17,5,Skipped,,
1,12,Skipped,5,38,22,23,21,19,Skipped,15,33,13,18,26,8,30,Skipped,17,16,31,9,32,14,27,29,24,3,10,7,25,2,28,Skipped,6,4,11,20,,
Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,38,1,Skipped,5,37,Skipped,28,Skipped,6,15,Skipped,36,35,Skipped,19,Skipped,13,7,Skipped,2,Skipped,Skipped,Skipped,4,3,Skipped,Skipped,9,Skipped,28,Skipped,,
Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,10,Skipped,Skipped,38,Skipped,36,1,Skipped,Skipped,Skipped,38,37,4,Skipped,38,Skipped,Skipped,9,6,5,Skipped,Skipped,Skipped,Skipped,Skipped,8,3,Skipped,Skipped,,
14,Skipped,22,9,Skipped,Skipped,17,Skipped,26,12,21,6,Skipped,11,20,5,8,Skipped,3,10,16,18,25,19,7,10,1,Skipped,Skipped,Skipped,23,24,2,13,15,4,Skipped,Skipped,,
3,4,20,10,21,15,13,18,22,5,Skipped,12,19,Skipped,9,2,17,14,16,11,Skipped,Skipped,Skipped,8,1,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,,
3,11,Skipped,14,7,Skipped,Skipped,Skipped,Skipped,20,Skipped,35,13,16,38,2,Skipped,Skipped,22,17,19,6,10,9,4,5,15,18,Skipped,Skipped,27,1,Skipped,Skipped,8,21,12,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,38,,
6,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,12,7,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,9,14,10,4,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,8,11,,
10,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,38,Skipped,12,37,1,Skipped,Skipped,7,2,13,Skipped,Skipped,6,8,Skipped,5,Skipped,Skipped,Skipped,11,3,Skipped,Skipped,4,Skipped,Skipped,Skipped,,
11,10,Skipped,19,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,23,Skipped,Skipped,21,4,Skipped,7,9,18,Skipped,1,16,20,12,17,Skipped,2,5,22,14,3,Skipped,Skipped,6,8,15,Skipped,,
7,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,30,Skipped,27,38,Skipped,25,31,29,4,Skipped,5,20,37,Skipped,7,21,2,3,33,Skipped,Skipped,Skipped,22,10,Skipped,27,5,6,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,37,Skipped,37,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,38,5,Skipped,Skipped,,
4,2,35,6,9,18,19,17,21,11,8,37,5,1,32,24,31,13,23,38,10,29,14,16,36,15,3,27,26,34,25,12,22,28,7,30,20,33,,
20,33,24,5,31,29,25,26,9,14,9,28,23,32,38,22,12,19,15,36,35,10,6,2,9,16,11,27,18,37,34,13,17,5,4,30,21,24,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,6,Skipped,2,1,35,36,34,Skipped,Skipped,24,16,33,20,14,8,17,Skipped,4,12,23,9,22,37,15,11,7,18,Skipped,Skipped,21,3,Skipped,Skipped,13,10,19,Skipped,,
7,36,2,9,15,31,29,30,4,35,23,18,6,21,33,10,16,8,27,17,28,1,32,37,19,20,13,12,25,38,24,22,3,11,26,14,5,34,,
10,9,Skipped,2,7,Skipped,Skipped,Skipped,Skipped,Skipped,20,38,Skipped,15,18,6,16,Skipped,5,12,37,14,13,21,1,8,36,4,Skipped,22,24,3,19,Skipped,11,17,Skipped,23,,
1,6,Skipped,Skipped,7,13,9,12,Skipped,2,26,Skipped,20,10,Skipped,19,Skipped,16,11,Skipped,14,24,23,Skipped,5,22,Skipped,4,17,Skipped,15,25,Skipped,18,27,8,3,21,,
Skipped,38,Skipped,Skipped,Skipped,37,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,35,Skipped,Skipped,Skipped,Skipped,Skipped,36,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
10,3,Skipped,6,11,15,Skipped,Skipped,8,Skipped,Skipped,Skipped,9,Skipped,12,7,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,14,13,Skipped,Skipped,Skipped,Skipped,5,Skipped,2,Skipped,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,38,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,9,Skipped,13,Skipped,Skipped,6,15,3,Skipped,Skipped,Skipped,5,14,12,Skipped,16,1,Skipped,7,Skipped,Skipped,Skipped,8,4,Skipped,Skipped,2,10,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,6,15,11,1,31,34,13,24,22,17,36,19,14,29,4,12,33,25,Skipped,32,8,26,20,7,27,18,9,23,35,21,10,30,Skipped,16,3,2,28,,
Skipped,10,Skipped,3,Skipped,Skipped,Skipped,Skipped,12,Skipped,11,20,16,8,Skipped,Skipped,Skipped,13,Skipped,18,Skipped,17,Skipped,19,1,Skipped,4,6,14,Skipped,7,2,Skipped,Skipped,9,5,15,Skipped,,
2,33,5,16,8,36,38,37,18,13,35,27,17,26,25,1,11,31,12,19,23,22,28,21,15,4,14,24,32,29,6,10,20,34,9,7,3,30,,
35,35,35,3,7,35,35,35,35,35,?,9,35,35,11,2,?,35,35,10,35,4,35,6,34,35,35,35,?,8,35,1,35,35,5,35,35,35,,
