Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
SP2462,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP2463,CRAIG JENSEN,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP2464,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,CRAIG JENSEN,CRAIG CONOVER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,2,7
SP2465,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,2,7
SP2466,DALE WATSON,XIMENA M. BISHOP,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP2467,AMANDA MILLER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP2468,MARCIA CONOVER-HARRIS,CRAIG CONOVER,XIMENA M. BISHOP,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,AMANDA MILLER,2,7
SP2469,CRAIG CONOVER,XIMENA M. BISHOP,CRAIG JENSEN,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,skipped,2,7
SP2470,AMANDA MILLER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP2471,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,2,7
SP2472,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,2,7
SP2473,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,2,7
SP2474,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2475,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,skipped,skipped,skipped,skipped,2,7
SP2476,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,2,7
SP2478,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,CRAIG CONOVER,2,7
SP2479,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,2,7
SP2480,CRAIG CONOVER,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP2481,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,CRAIG JENSEN,MICHAEL SNELSON,2,7
SP2482,DALE WATSON,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP2483,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,2,7
SP2484,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP2485,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,2,7
SP2486,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,2,7
SP2487,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP2488,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP2489,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,XIMENA M. BISHOP,DALE WATSON,2,7
SP2490,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,skipped,skipped,skipped,skipped,2,7
SP2491,CRAIG CONOVER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,2,7
SP2492,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,CRAIG JENSEN,CRAIG CONOVER,2,7
SP2493,DALE WATSON,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP2494,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,skipped,2,7
SP2495,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG JENSEN,2,7
SP2496,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP2497,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,2,7
SP2498,CRAIG CONOVER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,2,7
SP2499,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,skipped,skipped,skipped,skipped,2,7
SP2500,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP2501,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,2,7
SP2502,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,2,7
SP2503,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP2504,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,2,7
SP2505,MICHAEL SNELSON,CRAIG CONOVER,DALE WATSON,CRAIG JENSEN,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP2506,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,2,7
SP2507,MICHAEL SNELSON,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,2,7
SP2508,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,skipped,skipped,skipped,skipped,2,7
SP2509,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP2510,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2511,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,MICHAEL SNELSON,XIMENA M. BISHOP,2,7
SP2512,CRAIG JENSEN,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP2513,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2514,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,2,7
SP2515,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2516,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,2,7
SP2517,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP2518,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,DALE WATSON,2,7
SP2519,CRAIG JENSEN,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP2520,DALE WATSON,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP2521,CRAIG JENSEN,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,MICHAEL SNELSON,DALE WATSON,2,7
SP2522,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP2523,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,CRAIG CONOVER,DALE WATSON,2,7
SP2524,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,MICHAEL SNELSON,2,7
SP2525,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2526,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,2,7
SP2527,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,XIMENA M. BISHOP,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG JENSEN,2,7
SP2528,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP2529,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,2,7
SP2530,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,XIMENA M. BISHOP,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG JENSEN,2,7
SP2531,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,CRAIG JENSEN,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP2532,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,skipped,skipped,skipped,2,7
SP2533,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,CRAIG JENSEN,2,7
SP2535,CRAIG JENSEN,DALE WATSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,MICHAEL SNELSON,CRAIG CONOVER,2,7
SP2536,DALE WATSON,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,2,7
SP2537,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,MICHAEL SNELSON,CRAIG CONOVER,skipped,2,7
SP2538,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,2,7
SP2540,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,skipped,skipped,2,7
SP2541,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,2,7
SP2542,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,skipped,skipped,skipped,skipped,2,7
SP2543,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,2,7
SP2544,CRAIG CONOVER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,2,7
SP2545,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,skipped,skipped,skipped,2,7
SP2546,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,2,7
SP2547,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG CONOVER,2,7
SP2548,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,2,7
SP2549,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG JENSEN,MICHAEL SNELSON,CRAIG CONOVER,DALE WATSON,AMANDA MILLER,2,7
SP2550,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,2,7
SP2551,CRAIG CONOVER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,2,7
SP2552,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP2553,MARCIA CONOVER-HARRIS,CRAIG CONOVER,skipped,skipped,skipped,skipped,skipped,2,7
SP2554,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP2555,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,2,7
SP2556,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,2,7
SP2557,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,2,7
SP2558,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP2559,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,2,7
SP2560,DALE WATSON,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP2561,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,2,7
SP2562,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,2,7
SP2563,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,2,7
SP2564,MICHAEL SNELSON,CRAIG CONOVER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,2,7
SP2565,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,2,7
SP2566,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,2,7
SP2567,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP2568,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,DALE WATSON,CRAIG CONOVER,AMANDA MILLER,2,7
SP2569,CRAIG CONOVER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,2,7
SP2570,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,2,7
SP2571,CRAIG JENSEN,DALE WATSON,CRAIG CONOVER,XIMENA M. BISHOP,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP2572,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,CRAIG CONOVER,DALE WATSON,skipped,2,7
SP2573,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,2,7
SP2574,DALE WATSON,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,2,7
SP2575,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2576,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2577,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2578,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,CRAIG CONOVER,2,7
SP2579,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,2,7
SP2580,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG JENSEN,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,skipped,2,7
SP2581,CRAIG CONOVER,MARCIA CONOVER-HARRIS,skipped,skipped,skipped,skipped,skipped,2,7
SP2582,MARCIA CONOVER-HARRIS,CRAIG CONOVER,skipped,skipped,skipped,skipped,skipped,2,7
SP2583,DALE WATSON,MICHAEL SNELSON,AMANDA MILLER,XIMENA M. BISHOP,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2584,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2585,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,XIMENA M. BISHOP,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,2,7
SP2586,CRAIG CONOVER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG JENSEN,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,2,7
SP2587,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,2,7
SP2588,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,2,7
SP2590,CRAIG CONOVER,MICHAEL SNELSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,2,7
SP2591,AMANDA MILLER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP2592,XIMENA M. BISHOP,AMANDA MILLER,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP2594,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,2,7
SP2595,XIMENA M. BISHOP,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,skipped,2,7
SP2596,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2597,CRAIG CONOVER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP2599,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,2,7
SP2600,DALE WATSON,MICHAEL SNELSON,AMANDA MILLER,XIMENA M. BISHOP,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2601,CRAIG JENSEN,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP2602,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP2603,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP2604,CRAIG CONOVER,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP2605,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP2606,AMANDA MILLER,MARCIA CONOVER-HARRIS,DALE WATSON,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG CONOVER,skipped,2,7
SP2608,DALE WATSON,XIMENA M. BISHOP,MICHAEL SNELSON,AMANDA MILLER,CRAIG CONOVER,MARCIA CONOVER-HARRIS,skipped,2,7
SP2609,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,2,7
SP2610,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,MICHAEL SNELSON,XIMENA M. BISHOP,2,7
SP2611,CRAIG CONOVER,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,MICHAEL SNELSON,2,7
SP2612,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,2,7
SP2613,CRAIG CONOVER,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,MICHAEL SNELSON,2,7
SP2614,XIMENA M. BISHOP,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP2615,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,2,7
SP2616,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,skipped,2,7
SP2617,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,2,7
SP2618,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,CRAIG CONOVER,XIMENA M. BISHOP,DALE WATSON,2,7
SP2619,CRAIG CONOVER,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,2,7
SP2620,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP2621,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP2622,MICHAEL SNELSON,DALE WATSON,CRAIG CONOVER,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP2623,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP2624,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,2,7
SP2625,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,skipped,skipped,skipped,skipped,2,7
SP2626,XIMENA M. BISHOP,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,DALE WATSON,2,7
SP2627,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP2628,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,2,7
SP2631,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,2,7
SP2632,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2633,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG CONOVER,2,7
SP2634,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,2,7
SP2635,CRAIG JENSEN,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP2636,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP2637,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG JENSEN,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,2,7
